Engine Capacity,Cylinders,Drive Type,Fuel Tank Capacity,Fuel Economy,Fuel Type,Horsepower,Torque,Transmission,Top Speed,Seating Capacity,Acceleration,Length,Width,Height,Wheelbase,Trunk Capacity,name,price,currency,Country
2.0,4,0,58.0,9.4,0,197,350.0,0,170,5,11.6,4.649,1.852,1.71,2.68,800.0,Haval H6 2021 Supreme,88249.0,0,0
2.0,4,0,58.0,9.4,0,197,350.0,0,170,5,11.6,4.649,1.852,1.71,2.68,800.0,Haval H6 2021 Supreme Panoramic,93999.0,0,0
2.0,4,0,58.0,9.4,0,197,350.0,0,170,5,11.6,4.649,1.852,1.71,2.68,800.0,Haval H6 2021 Supreme Panoramic,93999.0,0,0
2.4,4,0,70.0,8.3,0,185,241.0,0,205,5,9.5,4.855,1.86,1.465,2.805,450.0,Kia Optima 2021 2.4L GDI,75570.0,0,0
2.0,4,0,70.0,8.5,0,240,350.0,0,205,5,8.0,4.855,1.86,1.465,2.805,450.0,Kia Optima 2021 2.0L T-GDI GT,120450.0,0,0
3.6,6,0,70.0,8.3,0,305,356.0,0,220,5,6.8,5.113,1.854,1.496,2.837,532.0,Chevrolet Impala 2021 3.6L LS,122452.0,0,0
3.8,6,1,69.0,13.0,0,241,327.0,0,180,5,12.7,4.385,1.875,1.85,2.56,500.0,Mitsubishi Pajero 2021 3.8L GLS 3 Door High,127710.0,0,0
3.5,6,0,60.0,7.0,0,298,356.0,0,235,5,6.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 3.5L SE (298 HP),123186.0,0,0
2.5,4,0,61.3,6.3,0,188,244.0,2,220,5,8.0,4.869,1.85,1.44,2.825,517.0,Nissan Altima 2021 2.5 S,98163.0,0,0
2.7,4,1,80.0,12.4,0,160,245.0,0,180,7,12.0,4.795,1.855,1.835,2.75,348.0,Toyota Fortuner 2021 2.7L GX2 (4X4),124324.0,0,0
2.4,4,1,80.0,7.9,1,147,400.0,0,175,7,13.2,4.795,1.855,1.835,2.75,348.0,Toyota Fortuner 2021 2.4L GX1 Diesel (4X4),114700.0,0,0
2.4,4,1,80.0,7.9,1,147,400.0,0,175,7,13.2,4.795,1.855,1.835,2.75,348.0,Toyota Fortuner 2021 2.4L GX2 Diesel (4X4),114700.0,0,0
